date,time,action,option,strike,premium,quantity,commission,pnl,reason
2026-01-08,09:30,买入开仓,put_2026-01-08,3.29,0.1046,1,5.0,0.0,开盘看跌
2026-01-08,14:45,卖出平仓,put_2026-01-08,3.29,0.1066,1,5.0,-24.380224412216123,日终清仓
2026-01-09,09:30,买入开仓,put_2026-01-09,3.27,0.105,1,5.0,0.0,开盘看跌
2026-01-09,14:00,卖出平仓,put_2026-01-09,3.27,0.1286,1,5.0,-241.2782066855261,反手平仓
2026-01-09,14:00,买入开仓,call_2026-01-09_rev,3.31,0.1078,1,5.0,0.0,反手开仓
2026-01-09,14:45,卖出平仓,call_2026-01-09,3.31,0.1078,1,5.0,-5.0,日终清仓
2026-01-15,09:30,买入开仓,put_2026-01-15,3.31,0.1077,1,5.0,0.0,开盘看跌
2026-01-15,14:00,卖出平仓,put_2026-01-15,3.31,0.1287,1,5.0,-214.9335906877088,反手平仓
2026-01-15,14:00,买入开仓,call_2026-01-15_rev,3.35,0.1081,1,5.0,0.0,反手开仓
2026-01-15,14:45,卖出平仓,call_2026-01-15,3.35,0.1081,1,5.0,-5.0,日终清仓
2026-01-16,09:30,买入开仓,call_2026-01-16,3.38,0.109,1,5.0,0.0,开盘看涨
2026-01-16,14:00,卖出平仓,call_2026-01-16,3.38,0.1253,1,5.0,157.39723273466788,反手平仓
2026-01-16,14:00,买入开仓,put_2026-01-16_rev,3.35,0.109,1,5.0,0.0,反手开仓
2026-01-16,14:45,卖出平仓,put_2026-01-16,3.35,0.109,1,5.0,-5.0,日终清仓
2026-01-19,09:30,买入开仓,put_2026-01-19,3.33,0.1078,1,5.0,0.0,开盘看跌
2026-01-19,14:45,卖出平仓,put_2026-01-19,3.33,0.1123,1,5.0,-49.476107769351735,日终清仓
2026-01-21,09:30,买入开仓,put_2026-01-21,3.24,0.1021,1,5.0,0.0,开盘看跌
2026-01-21,14:00,卖出平仓,put_2026-01-21,3.24,0.1259,1,5.0,-243.29886901257717,反手平仓
2026-01-21,14:00,买入开仓,call_2026-01-21_rev,3.28,0.1053,1,5.0,0.0,反手开仓
2026-01-21,14:45,卖出平仓,call_2026-01-21,3.28,0.1053,1,5.0,-5.0,日终清仓
2026-01-22,09:30,买入开仓,call_2026-01-22,3.3,0.1044,1,5.0,0.0,开盘看涨
2026-01-22,14:30,卖出开仓,hedge_call_3.48_2026-01-22,3.48,0.0282,1,5.0,0.0,盈利8.5%→对冲
2026-01-22,14:45,卖出平仓,call_2026-01-22,3.3,0.1133,1,5.0,84.19637410369593,日终清仓
2026-01-22,14:45,买入平仓,hedge_call_3.48_2026-01-22,3.48,0.0,1,5.0,277.2880100054914,14:45 强平
2026-02-03,09:30,买入开仓,call_2026-02-03,3.3,0.0813,1,5.0,0.0,开盘看涨
2026-02-03,14:30,卖出开仓,hedge_call_3.48_2026-02-03,3.48,0.0136,1,5.0,0.0,盈利7.1%→对冲
2026-02-03,14:45,卖出平仓,call_2026-02-03,3.3,0.087,1,5.0,52.84926759217559,日终清仓
2026-02-03,14:45,买入平仓,hedge_call_3.48_2026-02-03,3.48,0.0,1,5.0,131.24189413396093,14:45 强平
2026-02-04,09:30,买入开仓,put_2026-02-04,3.29,0.0849,1,5.0,0.0,开盘看跌
2026-02-04,14:45,卖出平仓,put_2026-02-04,3.29,0.0816,1,5.0,28.568244471657295,日终清仓
2026-02-05,09:30,买入开仓,put_2026-02-05,3.26,0.0818,1,5.0,0.0,开盘看跌
2026-02-05,14:45,卖出平仓,put_2026-02-05,3.26,0.0949,1,5.0,-135.82958677226614,日终清仓
2026-02-06,09:30,买入开仓,put_2026-02-06,3.21,0.0854,1,5.0,0.0,开盘看跌
2026-02-06,14:00,卖出平仓,put_2026-02-06,3.21,0.0955,1,5.0,-105.66775932840139,反手平仓
2026-02-06,14:00,买入开仓,call_2026-02-06_rev,3.23,0.0854,1,5.0,0.0,反手开仓
2026-02-06,14:45,卖出平仓,call_2026-02-06,3.23,0.0854,1,5.0,-5.0,日终清仓
2026-02-09,09:30,买入开仓,call_2026-02-09,3.29,0.0818,1,5.0,0.0,开盘看涨
2026-02-09,14:30,卖出开仓,hedge_call_3.49_2026-02-09,3.49,0.0148,1,5.0,0.0,盈利21.8%→对冲
2026-02-09,14:45,卖出平仓,call_2026-02-09,3.29,0.0996,1,5.0,172.90689004209005,日终清仓
